workload,variant,threads,n,elapsed_time_s,cpu_time_s,top_hotspot_fn,top_hotspot_pct,second_hotspot_fn,second_hotspot_pct,physical_core_util_pct,filename
fir,openmp,1,268435456,27.134,26.55,fir_parallel._omp_fn.0,100.0,_IO_fread,0.0,1.7,fir_openmp_t1_n268435456_summary.txt
fir,openmp,1,33554432,3.52,3.32,fir_parallel._omp_fn.0,99.6,_IO_fread,0.4,1.7,fir_openmp_t1_n33554432_summary.txt
fir,openmp,1,4194304,0.583,0.42,fir_parallel._omp_fn.0,100.0,,,1.5,fir_openmp_t1_n4194304_summary.txt
fir,openmp,1,536870912,54.899,53.66,fir_parallel._omp_fn.0,99.9,cfree,0.0,1.7,fir_openmp_t1_n536870912_summary.txt
fir,openmp,1,67108864,6.909,6.65,fir_parallel._omp_fn.0,99.8,_IO_fread,0.2,1.7,fir_openmp_t1_n67108864_summary.txt
fir,openmp,1,8388608,0.998,0.84,fir_parallel._omp_fn.0,98.6,_IO_fread,1.4,1.6,fir_openmp_t1_n8388608_summary.txt
fir,openmp,2,1048576,0.243,0.11,fir_parallel._omp_fn.0,100.0,,,1.6,fir_openmp_t2_n1048576_summary.txt
fir,openmp,2,134217728,7.339,13.96,fir_parallel._omp_fn.0,99.8,_IO_fread,0.1,3.4,fir_openmp_t2_n134217728_summary.txt
fir,openmp,2,16777216,1.074,1.76,fir_parallel._omp_fn.0,98.8,_IO_fread,0.7,3.0,fir_openmp_t2_n16777216_summary.txt
fir,openmp,2,2097152,0.289,0.22,fir_parallel._omp_fn.0,100.0,,,1.9,fir_openmp_t2_n2097152_summary.txt
fir,openmp,2,268435456,14.47,27.86,fir_parallel._omp_fn.0,99.9,_IO_fread,0.1,3.4,fir_openmp_t2_n268435456_summary.txt
fir,openmp,2,33554432,1.965,3.5,fir_parallel._omp_fn.0,99.3,_IO_fread,0.4,3.2,fir_openmp_t2_n33554432_summary.txt
fir,openmp,2,4194304,0.408,0.45,fir_parallel._omp_fn.0,100.0,,,2.3,fir_openmp_t2_n4194304_summary.txt
fir,openmp,2,536870912,29.334,56.34,fir_parallel._omp_fn.0,99.9,cfree,0.0,3.4,fir_openmp_t2_n536870912_summary.txt
fir,openmp,2,67108864,3.742,6.97,fir_parallel._omp_fn.0,99.7,_IO_fread,0.2,3.3,fir_openmp_t2_n67108864_summary.txt
fir,openmp,2,8388608,0.617,0.9,fir_parallel._omp_fn.0,96.5,_IO_fread,1.2,2.8,fir_openmp_t2_n8388608_summary.txt
fir,openmp,32,1048576,0.194,0.51,func@0x1fc70,49.0,func@0x1fe10,31.4,4.6,fir_openmp_t32_n1048576_summary.txt
fir,openmp,32,134217728,1.071,23.23,fir_parallel._omp_fn.0,97.9,func@0x1fc70,1.7,19.4,fir_openmp_t32_n134217728_summary.txt
fir,openmp,32,16777216,0.323,3.33,fir_parallel._omp_fn.0,88.3,func@0x1fc70,9.0,10.5,fir_openmp_t32_n16777216_summary.txt
fir,openmp,32,2097152,0.223,0.76,func@0x1fc70,50.0,fir_parallel._omp_fn.0,46.1,4.7,fir_openmp_t32_n2097152_summary.txt
fir,openmp,32,268435456,1.951,45.7,fir_parallel._omp_fn.0,98.9,func@0x1fc70,0.8,20.9,fir_openmp_t32_n268435456_summary.txt
fir,openmp,32,33554432,0.417,6.29,fir_parallel._omp_fn.0,92.2,func@0x1fc70,6.7,14.3,fir_openmp_t32_n33554432_summary.txt
fir,openmp,32,4194304,0.216,1.1,fir_parallel._omp_fn.0,69.1,func@0x1fc70,18.2,6.2,fir_openmp_t32_n4194304_summary.txt
fir,openmp,32,536870912,4.083,94.41,fir_parallel._omp_fn.0,99.5,func@0x1fc70,0.4,20.3,fir_openmp_t32_n536870912_summary.txt
fir,openmp,32,67108864,0.647,12.01,fir_parallel._omp_fn.0,96.8,func@0x1fe10,1.8,17.0,fir_openmp_t32_n67108864_summary.txt
fir,openmp,32,8388608,0.239,1.82,fir_parallel._omp_fn.0,86.8,func@0x1fc70,8.3,8.5,fir_openmp_t32_n8388608_summary.txt
fir,openmp,4,1048576,0.205,0.15,fir_parallel._omp_fn.0,100.0,,,2.1,fir_openmp_t4_n1048576_summary.txt
